Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,38.330002,38.740002,38.279999,38.709999,38.548500,900000
2019-07-02,38.580002,38.700001,38.150002,38.430000,38.269672,855200
2019-07-03,38.560001,38.779999,38.450001,38.720001,38.558460,338600
2019-07-05,38.650002,38.650002,38.099998,38.529999,38.369251,502300
2019-07-08,38.410000,38.599998,38.049999,38.220001,38.060547,1366400
2019-07-09,38.090000,38.400002,37.950001,38.360001,38.199963,717400
2019-07-10,38.459999,38.599998,38.349998,38.389999,38.229836,623100
2019-07-11,38.470001,38.540001,38.240002,38.349998,38.189999,501700
2019-07-12,38.490002,38.630001,38.009998,38.580002,38.419044,436200
2019-07-15,38.669998,38.799999,38.389999,38.639999,38.478794,361600
2019-07-16,38.639999,38.750000,38.240002,38.299999,38.140213,646600
2019-07-17,38.340000,38.509998,38.119999,38.209999,38.050587,664700
2019-07-18,38.209999,38.790001,38.200001,38.650002,38.488754,841200
2019-07-19,38.740002,39.099998,38.490002,38.509998,38.349335,976300
2019-07-22,38.580002,38.860001,38.430000,38.689999,38.528584,440400
2019-07-23,38.869999,39.189999,38.529999,39.180000,39.016541,861800
2019-07-24,39.090000,39.509998,38.779999,39.509998,39.345161,1293800
2019-07-25,39.770000,40.459999,39.599998,40.349998,40.181660,1909000
2019-07-26,40.480000,40.750000,39.980000,40.410000,40.241409,1254700
2019-07-29,40.330002,40.820000,40.090000,40.529999,40.360905,1242800
2019-07-30,40.299999,40.549999,40.209999,40.330002,40.161743,867400
2019-07-31,40.340000,40.470001,39.419998,39.680000,39.514454,1148000
